Categoría: Todas las categorías

Semana,vitamin d: (Estados Unidos)
2016-04-03,44
2016-04-10,42
2016-04-17,42
2016-04-24,41
2016-05-01,38
2016-05-08,39
2016-05-15,37
2016-05-22,40
2016-05-29,34
2016-06-05,34
2016-06-12,37
2016-06-19,35
2016-06-26,34
2016-07-03,31
2016-07-10,31
2016-07-17,34
2016-07-24,36
2016-07-31,32
2016-08-07,32
2016-08-14,30
2016-08-21,32
2016-08-28,35
2016-09-04,31
2016-09-11,35
2016-09-18,36
2016-09-25,35
2016-10-02,34
2016-10-09,34
2016-10-16,40
2016-10-23,42
2016-10-30,36
2016-11-06,36
2016-11-13,40
2016-11-20,30
2016-11-27,40
2016-12-04,36
2016-12-11,37
2016-12-18,37
2016-12-25,36
2017-01-01,39
2017-01-08,45
2017-01-15,44
2017-01-22,44
2017-01-29,46
2017-02-05,43
2017-02-12,51
2017-02-19,51
2017-02-26,43
2017-03-05,49
2017-03-12,45
2017-03-19,46
2017-03-26,50
2017-04-02,45
2017-04-09,48
2017-04-16,45
2017-04-23,46
2017-04-30,42
2017-05-07,41
2017-05-14,40
2017-05-21,39
2017-05-28,34
2017-06-04,38
2017-06-11,40
2017-06-18,42
2017-06-25,40
2017-07-02,33
2017-07-09,35
2017-07-16,37
2017-07-23,38
2017-07-30,34
2017-08-06,36
2017-08-13,35
2017-08-20,34
2017-08-27,32
2017-09-03,34
2017-09-10,36
2017-09-17,34
2017-09-24,39
2017-10-01,35
2017-10-08,38
2017-10-15,40
2017-10-22,43
2017-10-29,42
2017-11-05,44
2017-11-12,47
2017-11-19,37
2017-11-26,39
2017-12-03,40
2017-12-10,37
2017-12-17,37
2017-12-24,33
2017-12-31,40
2018-01-07,42
2018-01-14,45
2018-01-21,50
2018-01-28,56
2018-02-04,45
2018-02-11,46
2018-02-18,48
2018-02-25,49
2018-03-04,47
2018-03-11,45
2018-03-18,48
2018-03-25,48
2018-04-01,50
2018-04-08,46
2018-04-15,47
2018-04-22,50
2018-04-29,44
2018-05-06,43
2018-05-13,43
2018-05-20,40
2018-05-27,41
2018-06-03,37
2018-06-10,40
2018-06-17,42
2018-06-24,36
2018-07-01,38
2018-07-08,42
2018-07-15,39
2018-07-22,37
2018-07-29,35
2018-08-05,39
2018-08-12,41
2018-08-19,40
2018-08-26,38
2018-09-02,32
2018-09-09,37
2018-09-16,36
2018-09-23,37
2018-09-30,40
2018-10-07,40
2018-10-14,40
2018-10-21,42
2018-10-28,42
2018-11-04,39
2018-11-11,46
2018-11-18,34
2018-11-25,40
2018-12-02,52
2018-12-09,42
2018-12-16,41
2018-12-23,36
2018-12-30,46
2019-01-06,50
2019-01-13,49
2019-01-20,49
2019-01-27,51
2019-02-03,50
2019-02-10,48
2019-02-17,45
2019-02-24,48
2019-03-03,47
2019-03-10,48
2019-03-17,47
2019-03-24,46
2019-03-31,45
2019-04-07,46
2019-04-14,43
2019-04-21,43
2019-04-28,41
2019-05-05,41
2019-05-12,41
2019-05-19,40
2019-05-26,36
2019-06-02,40
2019-06-09,38
2019-06-16,38
2019-06-23,41
2019-06-30,32
2019-07-07,36
2019-07-14,37
2019-07-21,36
2019-07-28,37
2019-08-04,35
2019-08-11,36
2019-08-18,39
2019-08-25,33
2019-09-01,35
2019-09-08,37
2019-09-15,40
2019-09-22,40
2019-09-29,41
2019-10-06,39
2019-10-13,42
2019-10-20,46
2019-10-27,41
2019-11-03,46
2019-11-10,45
2019-11-17,45
2019-11-24,36
2019-12-01,43
2019-12-08,40
2019-12-15,41
2019-12-22,34
2019-12-29,42
2020-01-05,47
2020-01-12,49
2020-01-19,51
2020-01-26,50
2020-02-02,52
2020-02-09,47
2020-02-16,51
2020-02-23,50
2020-03-01,50
2020-03-08,58
2020-03-15,51
2020-03-22,62
2020-03-29,54
2020-04-05,52
2020-04-12,51
2020-04-19,54
2020-04-26,55
2020-05-03,75
2020-05-10,100
2020-05-17,68
2020-05-24,61
2020-05-31,45
2020-06-07,47
2020-06-14,47
2020-06-21,48
2020-06-28,50
2020-07-05,52
2020-07-12,50
2020-07-19,49
2020-07-26,51
2020-08-02,46
2020-08-09,49
2020-08-16,43
2020-08-23,41
2020-08-30,48
2020-09-06,52
2020-09-13,56
2020-09-20,51
2020-09-27,67
2020-10-04,60
2020-10-11,63
2020-10-18,62
2020-10-25,74
2020-11-01,56
2020-11-08,62
2020-11-15,73
2020-11-22,55
2020-11-29,64
2020-12-06,66
2020-12-13,62
2020-12-20,87
2020-12-27,85
2021-01-03,83
2021-01-10,72
2021-01-17,69
2021-01-24,70
2021-01-31,66
2021-02-07,63
2021-02-14,61
2021-02-21,66
2021-02-28,59
2021-03-07,57
2021-03-14,54
2021-03-21,55
2021-03-28,39
